help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans_org;link;lat;lon;Woiwod2026;Relevanz Ditt;scans;Mehrfach
Kietrz_opolskie;Kietrz;opolskie;urząd stanu cywilnego;;1874-1938;45/807/0;9844;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45299#;50.0796271;18.0011082;Opolskie;1;9844;1
Kije_zielonogórskie;Kije;zielonogórskie;urząd stanu cywilnego;;1947-1964;89/2741/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/162336#;52.09738;15.53899;Lubuskie,  Dolnośląskie;1;0;1
Kije_zielonogórskie;Kije;zielonogórskie;urząd stanu cywilnego;;1874-1938;89/976/0;349;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/64154#;52.09738;15.53799;Lubuskie,  Dolnośląskie;1;349;2
Kijewo Królewskie_toruńskie;Kijewo Królewskie;toruńskie;urząd stanu cywilnego;;1874-1935 [1939, 1949];69/1153/0;4931;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/103407#;53.2735046;18.444195;Kujawsko-Pomorskie;1;4931;1
Kijów_opolskie;Kijów;opolskie;urząd stanu cywilnego;;1955-1959;45/3850/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/162751#;50.372362;17.2543578;Opolskie;1;0;1
Kikół_włocławskie;Kikół;włocławskie;urząd stanu cywilnego;;1707-1923;71/204/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/104475#;52.912342;19.1193393;Kujawsko-Pomorskie,  Wielkopolskie;1;0;1
Kilianów_wrocławskie;Kilianów;wrocławskie;urząd stanu cywilnego;;1875-1934;82/1390/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/89998#;51.0036948;16.7458198;Dolnośląskie;1;0;1
Kinice_gorzowskie;Kinice;gorzowskie;urząd stanu cywilnego;;1874-1942;66/452/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35900#;52.93788;15.08591;Lubuskie, Zachodniopomorskie;1;0;1
Kisielin_zielonogórskie;Kisielin;zielonogórskie;urząd stanu cywilnego;;1874-1937;89/249/0;2671;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63335#;51.93181;15.61379;Lubuskie,  Dolnośląskie;1;2671;1
Kiszkowo_poznańskie;Kiszkowo;poznańskie;urząd stanu cywilnego;;1874-1942;53/1866/0;15181;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/16972#;52.5900887;17.2608579;Wielkopolskie;1;15181;1
Klamry_toruńskie;Klamry;toruńskie;urząd stanu cywilnego;;1874-1935 [1936];69/1154/0;8935;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/103408#;53.3627162;18.5140011;Warmińsko-Mazurskie;0;8935;1
Klecina_wrocławskie;Klecina;wrocławskie;urząd stanu cywilnego;;1874-1913;82/1441/0;414;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90048#;51.0619612;16.971629;Podkarpackie, Świętokrzyskie,  Lubelskie/Mazowieckie;0;414;1
Kłecko_poznańskie;Kłecko;poznańskie;urząd stanu cywilnego;miasto;1874-1942;53/1869/0;9074;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/16975#;52.6324247;17.4272911;Wielkopolskie, Łódzkie;1;9074;1
Kłecko_poznańskie;Kłecko;poznańskie;urząd stanu cywilnego;obwód wiejski;1874-1942;53/1870/0;18971;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/16976#;52.6324247;17.4262911;Wielkopolskie, Łódzkie;1;18971;2
Klenica_zielonogórskie;Klenica;zielonogórskie;urząd stanu cywilnego;;1874-1898;89/11/0;265;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63044#;51.9914751;15.7832831;Warmińsko-Mazurskie;0;265;1
Klępsk_zielonogórskie;Klępsk;zielonogórskie;urząd stanu cywilnego;;1955-1964;89/2737/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/162332#;52.11565;15.71555;Lubuskie,  Dolnośląskie;1;0;1
Kleszczewo_poznańskie;Kleszczewo;poznańskie;urząd stanu cywilnego;;1874-1925, 1955-1960, 1962, 1969, 1978, 2009;53/1867/0;10937;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/16973#;52.3335219;17.1700116;Podkarpackie, Świętokrzyskie,  Lubelskie/Mazowieckie;0;10937;1
Kliniska Wielkie_szczecińskie;Kliniska Wielkie;szczecińskie;urząd stanu cywilnego;;1874-1937;65/612/0;4259;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69045#;53.4608478;14.7728603;Mazowieckie,  Świętokrzyskie;0;4259;1
Klisino_opolskie;Klisino;opolskie;urząd stanu cywilnego;;1874-1938;45/800/0;5488;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45292#;50.30425;17.80973;Opolskie;1;5488;1
Kłobia_włocławskie;Kłobia;włocławskie;urząd stanu cywilnego;;"1782-1807; 1808-1924";71/205/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/104476#;52.51767;18.90486;Opolskie;1;0;1
Kłóbka_włocławskie;Kłóbka;włocławskie;urząd stanu cywilnego;;1808-1924;71/206/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/104477#;52.4520396;19.1278628;Zachodniopomorskie, Pomorskie;0;0;1
