help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans;link;lat;lon;Woiwod2026;Relevanz Ditt
Biskupice_opolskie;Biskupice;opolskie;urząd stanu cywilnego;;1874-1938;45/856/0;3629;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45348#;51.0815282;18.1913612;Opolskie;1
Biskupiec_toruńskie;Biskupiec;toruńskie;urząd stanu cywilnego;obwód wiejski;1891-1899,1901,1904,1908-1911;42/1855/0;3055;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/117152#;52.6538318;17.6341262;Kujawsko-Pomorskie;1
Biskupiec_toruńskie;Biskupiec;toruńskie;urząd stanu cywilnego;;1874-1875;42/2044/0;262;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/117341#;52.6538318;17.6341262;Kujawsko-Pomorskie;1
Biskupiec_toruńskie;Biskupiec;toruńskie;urząd stanu cywilnego;;1876-1901, 1906, 1908-1911;42/854/0;5398;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/115992#;52.6538318;17.6341262;Kujawsko-Pomorskie;1
Biskupin_legnickie;Biskupin;legnickie;urząd stanu cywilnego;;1874 - 1936;85/546/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/87638#;51.32083;15.8498;Dolnośląskie;1
Biskupów_opolskie;Biskupów;opolskie;urząd stanu cywilnego;;1955-1959;45/3842/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/162743#;50.3735873;17.2987345;Opolskie;1
Biskupów_opolskie;Biskupów;opolskie;urząd stanu cywilnego;;1877-1908, 1933-1939, 1941-1943;45/956/0;795;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45447#;50.3735873;17.2987345;Opolskie;1
Blachownia Śląska_opolskie;Blachownia Śląska;opolskie;urząd stanu cywilnego;;1882-1944;45/891/0;2574;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45382#;50.3535805;18.2579561;Opolskie;1
Błażejowice_opolskie;Błażejowice;opolskie;urząd stanu cywilnego;;1955-1959;45/3680/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/120306#;50.20194;18.18624;Lubuskie, Zachodniopomorskie;1
Błażkowa_jeleniogórskie;Błażkowa;jeleniogórskie;urząd stanu cywilnego;;1874 - 1938;83/456/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86652#;50.7356742;15.9834678;Mazowieckie;0
Błędowo_toruńskie;Błędowo;toruńskie;urząd stanu cywilnego;;[1933-1935] 1937, [1942, 2003];69/1943/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/159884#;52.4414619;19.1146447;Świętokrzyskie, Mazowieckie,  Łódzkie;0
Bledzew_gorzowskie;Bledzew;gorzowskie;urząd stanu cywilnego;;1874-1941;66/473/0;6646;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35921#;52.5175796;15.413957;Śląskie, Małopolskie,  Opolskie;1
Bliszczyce_opolskie;Bliszczyce;opolskie;urząd stanu cywilnego;;1874-1925;45/792/0;2106;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45284#;50.0816;17.75468;Dolnośląskie;1
Blizno_toruńskie;Blizno;toruńskie;urząd stanu cywilnego;;1874-1925;69/1131/0;4027;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/103385#;53.3805855;19.0781387;Pomorskie;0
Błotno_szczecińskie;Błotno;szczecińskie;urząd stanu cywilnego;;1876-1912;65/597/0;4676;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69030#;53.7518416;15.0183834;Opolskie;1
