Help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans_org;link;lat;lon;Woiwod2026;Relevanz Ditt;scans;Mehrfach
Głogówek_opolskie;Głogówek;opolskie;ewangelicko-augsburskie;;1855-1874;45/3372/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47875#;50.3532373;17.8609329;Opolskie;1;0;1
Głożyna_gorzowskie;Głożyna;gorzowskie;ewangelicko-augsburskie;;[1666] 1879-1945;66/28/0;68637;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35445#;51.5149692;15.1561274;Lubuskie, Zachodniopomorskie;1;68637;1
Głubczyce_opolskie;Głubczyce;opolskie;ewangelicko-augsburskie;;1766-1927 [1949];45/3326/0;18397;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47829#;50.1999072;17.8291977;Opolskie;1;18397;1
Głuchów Górny_wrocławskie;Głuchów Górny;wrocławskie;ewangelickie;;1569-1948;82/130/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88415#;51.2703284;17.1305215;Dolnośląskie;1;0;1
Gniewkowo_bydgoskie;Gniewkowo;bydgoskie;ewangelicko-augsburskie;;1854 - 1874;7/495/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/144139#;52.894229;18.4056817;Kujawsko-Pomorskie;1;0;1
Gniezno_poznańskie;Gniezno;poznańskie;ewangelickie;;1802 - 1889;53/3783/0;3553;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/19314#;52.5357736;17.594889;Wielkopolskie;1;3553;1
Godowo_szczecińskie;Godowo;szczecińskie;ewangelicko-augsburskie;;1581-1947;65/44/0;114460;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/68037#;53.5566308;15.0848406;Zachodniopomorskie,  Lubuskie;1;114460;1
Goduszyn_jeleniogórskie;Goduszyn;jeleniogórskie;ewangelicko-augsburskie;;1709 - 1947;83/118/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86285#;50.894428;15.6810547;Dolnośląskie;1;0;1
Gołaszewo_poznańskie;Gołaszewo;poznańskie;ewangelickie;;1846 - 1874;53/3784/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/19315#;52.7387434;17.4097835;Wielkopolskie;1;0;1
Golce_pilskie;Golce;pilskie;ewangelicko-augsburskie;;1581-1947;65/44/0;114460;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/68037#;53.3694548;16.4286095;Wielkopolskie, Zachodniopomorskie;1;114460;1
Goleniów_szczecińskie;Goleniów;szczecińskie;ewangelicko-augsburskie;;[1711-1879] 1879-1945;65/148/0;4348;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/68135#;53.5654939;14.8289285;Zachodniopomorskie,  Lubuskie;1;4348;1
Goleniów_szczecińskie;Goleniów;szczecińskie;ewangelicko-augsburskie;;1581-1947;65/44/0;114460;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/68037#;53.5654939;14.8279285;Zachodniopomorskie,  Lubuskie;1;114460;2
Golin_pilskie;Golin;pilskie;ewangelicko-augsburskie;;[1721-1878] 1879-1945;26/112/0;1606;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/77658#;53.1243289;16.0829675;Wielkopolskie, Zachodniopomorskie;1;1606;1
Gołkowice_opolskie;Gołkowice;opolskie;ewangelicko-augsburskie;;1830-1870;45/3373/0;609;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47876#;51.1371081;18.1988348;Opolskie;1;609;1
Gorce_wałbrzyskie;Gorce;wałbrzyskie;ewangelicko-augsburskie;;[1655 - 1879] 1879 - 1945;83/94/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86261#;50.7564795;16.2033895;Dolnośląskie;1;0;1
Górsk_toruńskie;Górsk;toruńskie;ewangelicko-augsburskie;;1614-1935;69/271/0;2294;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/102465#;53.054606;18.4362521;Kujawsko-Pomorskie;1;2294;1
