Help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans;link;lat;lon;Woiwod2026;Relevanz Ditt
Jemielnica_opolskie;Jemielnica;opolskie;rzymskokatolickie;;1830-1874;45/3254/0;757;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47710#;50.5448088;18.3795292;Opolskie;1
Jemielnica_opolskie;Jemielnica;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.5448088;18.3795292;Opolskie;1
Jerzmanowo_wrocławskie;Jerzmanowo;wrocławskie;rzymskokatolickie;;;kein Bestand;0;0;51.1206323;16.8743179;Dolnośląskie;1
Jezierzyce Kościelne_leszczyńskie;Jezierzyce Kościelne;leszczyńskie;rzymskokatolickie;;;kein Bestand;0;0;51.89411;16.40325;Wielkopolskie, Dolnośląskie;1
Jeżewo_leszczyńskie;Jeżewo;leszczyńskie;rzymskokatolickie;;;kein Bestand;0;0;51.9406798;17.2197561;Wielkopolskie, Dolnośląskie;1
Jeżewo_leszczyńskie;Jeżewo;leszczyńskie;rzymskokatolickie;;1808 - 1874;53/3326/0;862;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18843#;51.9406798;17.2197561;Wielkopolskie, Dolnośląskie;1
Jeżewo_bydgoskie;Jeżewo;bydgoskie;rzymskokatolickie;;1823-1860;6/268/0;631;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/144720#;53.5099977;18.4935803;Kujawsko-Pomorskie;1
Jędrzejów_opolskie;Jędrzejów;opolskie;rzymskokatolickie;śś. Apostołów Szymona i Judy Tadeusza;1661-1944;45/1236/0;21283;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45691#;50.6597366;17.3109263;Opolskie;1
Jędrzychów_zielonogórskie;Jędrzychów;zielonogórskie;rzymskokatolickie;;;kein Bestand;0;0;51.9070789;15.509952;Lubuskie,  Dolnośląskie;1
Jodłów_wałbrzyskie;Jodłów;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.1596398;16.7506556;Dolnośląskie;1
Jugowice_wałbrzyskie;Jugowice;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.7310111;16.4027816;Dolnośląskie;1
Jugów_wałbrzyskie;Jugów;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.6339207;16.5117116;Dolnośląskie;1
Juncewo_bydgoskie;Juncewo;bydgoskie;rzymskokatolickie;;1808 - 1861;53/3327/0;563;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18844#;52.8340794;17.5279152;Kujawsko-Pomorskie;1
Juszczyn_wrocławskie;Juszczyn;wrocławskie;rzymskokatolickie;;;kein Bestand;0;0;51.154596;16.6789939;Dolnośląskie;1
Jutrosin_leszczyńskie;Jutrosin;leszczyńskie;rzymskokatolickie;;;kein Bestand;0;0;51.6536197;17.1689896;Wielkopolskie, Dolnośląskie;1
Jutrosin_leszczyńskie;Jutrosin;leszczyńskie;rzymskokatolickie;;1818 - 1847;53/3328/0;711;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18845#;51.6536197;17.1689896;Wielkopolskie, Dolnośląskie;1
Kaczanowo_poznańskie;Kaczanowo;poznańskie;rzymskokatolickie;;1817-1874;53/4914/0;583;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/20580#;52.2899638;17.5827874;Wielkopolskie;1
Kaczanowo_poznańskie;Kaczanowo;poznańskie;rzymskokatolickie;;1849 - 1860;53/4934/0;1699;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/20600#;52.2899638;17.5827874;Wielkopolskie;1
Kaczewo_włocławskie;Kaczewo;włocławskie;rzymskokatolickie;;;kein Bestand;0;0;52.5633333;18.5136111;Kujawsko-Pomorskie,  Wielkopolskie;1
Kaczkowo_leszczyńskie;Kaczkowo;leszczyńskie;rzymskokatolickie;;;kein Bestand;0;0;51.742857;16.6851094;Wielkopolskie, Dolnośląskie;1
Kałków_opolskie;Kałków;opolskie;rzymskokatolickie;;1836-1939;45/3255/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47711#;50.405739;17.1871754;Opolskie;1
Kałków_opolskie;Kałków;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.405739;17.1871754;Opolskie;1
Kamienica_opolskie;Kamienica;opolskie;rzymskokatolickie;;1810-1871;45/3256/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47712#;50.4497658;16.9520425;Opolskie;1
Kamienica_opolskie;Kamienica;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.4497658;16.9520425;Opolskie;1
Kamieniec_poznańskie;Kamieniec;poznańskie;rzymskokatolickie;;;kein Bestand;0;0;52.5477764;17.9661991;Wielkopolskie;1
Kamieniec_poznańskie;Kamieniec;poznańskie;rzymskokatolickie;;1810 - 1829;53/3329/0;27;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18846#;52.5477764;17.9661991;Wielkopolskie;1
Kamieniec_wałbrzyskie;Kamieniec;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.457298;16.549226;Dolnośląskie;1
Kamieniec Ząbkowicki_wałbrzyskie;Kamieniec Ząbkowicki;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.5229139;16.8736143;Dolnośląskie;1
Kamienna Góra_jeleniogórskie;Kamienna Góra;jeleniogórskie;rzymskokatolickie;św. Piotra i Pawła;[1655 - 1879] 1879 - 1945;83/94/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86261#;50.7837361;16.0336631;Dolnośląskie;1
Kamienna Góra_jeleniogórskie;Kamienna Góra;jeleniogórskie;rzymskokatolickie;;;kein Bestand;0;0;50.7837361;16.0336631;Dolnośląskie;1
Kamień Śląski_opolskie;Kamień Śląski;opolskie;rzymskokatolickie;;1838-1874;45/3257/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47713#;50.538798;18.076674;Opolskie;1
Kamień Śląski_opolskie;Kamień Śląski;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.538798;18.076674;Opolskie;1
Kamionki_wałbrzyskie;Kamionki;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.6771558;16.5441668;Dolnośląskie;1
Karczów_opolskie;Karczów;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.70354;17.784167;Opolskie;1
Karczyce_wrocławskie;Karczyce;wrocławskie;rzymskokatolickie;;;kein Bestand;0;0;51.102974;16.7449996;Dolnośląskie;1
Karłowice_opolskie;Karłowice;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.8748757;17.7115215;Opolskie;1
Karłowice Wielkie_opolskie;Karłowice Wielkie;opolskie;rzymskokatolickie;św. Marii Magdaleny;1661-1944;45/1236/0;21283;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45691#;50.540487;17.213494;Opolskie;1
Karłowice Wielkie_opolskie;Karłowice Wielkie;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.540487;17.213494;Opolskie;1
Karnkowo_włocławskie;Karnkowo;włocławskie;rzymskokatolickie;;;kein Bestand;0;0;52.859047;19.2510542;Kujawsko-Pomorskie,  Wielkopolskie;1
Karnkowo_włocławskie;Karnkowo;włocławskie;rzymskokatolickie;;"1770-1821; 1826-1923";71/203/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/104474#;52.859047;19.2510542;Kujawsko-Pomorskie,  Wielkopolskie;1
Karpniki_jeleniogórskie;Karpniki;jeleniogórskie;rzymskokatolickie;;;kein Bestand;0;0;50.8512944;15.8594243;Dolnośląskie;1
Kaszczor_leszczyńskie;Kaszczor;leszczyńskie;rzymskokatolickie;;;kein Bestand;0;0;51.9580839;16.1613411;Wielkopolskie, Dolnośląskie;1
Kaszczor_leszczyńskie;Kaszczor;leszczyńskie;rzymskokatolickie;;1818 - 1866;53/3332/0;1024;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18849#;51.9580839;16.1613411;Wielkopolskie, Dolnośląskie;1
Kaszczor_leszczyńskie;Kaszczor;leszczyńskie;rzymskokatolickie;;1855-1874;89/1405/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63781#;51.9580839;16.1613411;Wielkopolskie, Dolnośląskie;1
Kaszczorek_toruńskie;Kaszczorek;toruńskie;rzymskokatolickie;;1779-1934;69/253/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/102447#;53.0079708;18.6993846;Kujawsko-Pomorskie;1
Kazimierz_opolskie;Kazimierz;opolskie;rzymskokatolickie;Wniebowzięcia Najświętszej Maryi Panny;1766-1927 [1949];45/3326/0;18397;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47829#;50.2962328;17.8932911;Opolskie;1
Kaźmierz_poznańskie;Kaźmierz;poznańskie;rzymskokatolickie;;;kein Bestand;0;0;52.5129241;16.5831468;Wielkopolskie;1
Kaźmierz_poznańskie;Kaźmierz;poznańskie;rzymskokatolickie;;1819 - 1873;53/3333/0;974;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18850#;52.5129241;16.5831468;Wielkopolskie;1
Kąkolewo_poznańskie;Kąkolewo;poznańskie;rzymskokatolickie;;1818 - 1829;53/3334/0;123;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18851#;51.8598633;16.6917319;Wielkopolskie;1
Kąty Wrocławskie_wrocławskie;Kąty Wrocławskie;wrocławskie;rzymskokatolickie;;;kein Bestand;0;0;51.0302656;16.7702325;Dolnośląskie;1
